Year,Gebietseinheit,Statistik,GeoCode,Value
2017,Osnabrück,Wohnungen insgesamt,K0459,1505
2017,Melle Stadt,Wohnungen insgesamt,K0459024,229
2017,Osnabrück (oh.M,Wohnungen insgesamt,K0459900,1276
2017,Vechta,Wohnungen insgesamt,K0460,1124
2017,Wesermarsch,Wohnungen insgesamt,K0461,343
2017,Wittmund,Wohnungen insgesamt,K0462,342
2017,Niedersachsen,1 Zimmer,,1107
2017,Braunschweig,1 Zimmer,,63
2017,Braunschweig St,1 Zimmer,,6
2017,Salzgitter Stad,1 Zimmer,,0
2017,Wolfsburg Stadt,1 Zimmer,,18
2017,Gifhorn,1 Zimmer,,17
2017,Goslar,1 Zimmer,,5
2017,Goslar Stadt,1 Zimmer,,0
2017,Goslar (oh. Gos,1 Zimmer,,5
2017,Helmstedt,1 Zimmer,,1
2017,Northeim,1 Zimmer,,9
2017,Peine,1 Zimmer,,5
2017,Peine Stadt,1 Zimmer,,4
2017,Peine (oh. Pein,1 Zimmer,,1
2017,Wolfenbüttel,1 Zimmer,,0
2017,Wolfenbüttel St,1 Zimmer,,1
2017,Wolfenbüttel (o,1 Zimmer,,1
2017,Göttingen,1 Zimmer,,38
2017,Göttingen Stadt,1 Zimmer,,35
2017,Göttingen (oh.,1 Zimmer,,3
2017,Hannover,1 Zimmer,,523
2017,Hannover Region,1 Zimmer,,509
2017,Hannover Landes,1 Zimmer,,314
2017,Garbsen Stadt,1 Zimmer,,169
2017,Langenhagen Sta,1 Zimmer,,1
2017,Hann.Reg.(oh.Ha,1 Zimmer,,27
2017,Diepholz,1 Zimmer,,3
2017,Hameln-Pyrmont,1 Zimmer,,0
2017,Hameln Stadt,1 Zimmer,,0
2017,Hameln-Pyrmont,1 Zimmer,,0
2017,Hildesheim,1 Zimmer,,4
2017,Hildesheim Stad,1 Zimmer,,4
2017,Hildesheim(oh.H,1 Zimmer,,0
2017,Holzminden,1 Zimmer,,3
2017,Nienburg (Weser,1 Zimmer,,4
2017,Schaumburg,1 Zimmer,,0
2017,Lüneburg,1 Zimmer,,250
2017,Celle,1 Zimmer,,7
2017,Celle Stadt,1 Zimmer,,6
2017,Celle (oh.Celle,1 Zimmer,,1
2017,Cuxhaven,1 Zimmer,,2
2017,Cuxhaven Stadt,1 Zimmer,,1
2017,Cuxhaven (oh. C,1 Zimmer,,1
2017,Harburg,1 Zimmer,,20
2017,Lüchow-Dannenbe,1 Zimmer,,3
2017,Lüneburg,1 Zimmer,,101
2017,Lüneburg Hanses,1 Zimmer,,3
2017,Lüneburg (oh. L,1 Zimmer,,98
2017,Osterholz,1 Zimmer,,8
2017,Rotenburg (Wümm,1 Zimmer,,23
2017,Heidekreis,1 Zimmer,,34
2017,Stade,1 Zimmer,,39
2017,Stade Hansestad,1 Zimmer,,1
2017,Stade (oh.Stade,1 Zimmer,,40
2017,Uelzen,1 Zimmer,,2
2017,Verden,1 Zimmer,,11
2017,Weser-Ems,1 Zimmer,,271
2017,Delmenhorst Sta,1 Zimmer,,2
2017,Emden Stadt,1 Zimmer,,2
2017,Oldenburg(Oldb),1 Zimmer,,66
2017,Osnabrück Stadt,1 Zimmer,,74
2017,Wilhelmshaven S,1 Zimmer,,1
2017,Ammerland,1 Zimmer,,18
2017,Aurich,1 Zimmer,,8
2017,Cloppenburg,1 Zimmer,,1
2017,Emsland,1 Zimmer,,19
2017,Lingen (Ems) St,1 Zimmer,,3
2017,Emsland (oh. Li,1 Zimmer,,16
2017,Friesland,1 Zimmer,,27
2017,Grafschaft Bent,1 Zimmer,,3
2017,Nordhorn Stadt,1 Zimmer,,2
2017,Grfsch.Bentheim,1 Zimmer,,1
2017,Leer,1 Zimmer,,7
2017,Oldenburg,1 Zimmer,,1
2017,Osnabrück,1 Zimmer,,28
2017,Melle Stadt,1 Zimmer,,2
2017,Osnabrück (oh.M,1 Zimmer,,26
2017,Vechta,1 Zimmer,,6
2017,Wesermarsch,1 Zimmer,,4
2017,Wittmund,1 Zimmer,,4
2017,Niedersachsen,2 Zimmer,,4883
2017,Braunschweig,2 Zimmer,,713
2017,Braunschweig St,2 Zimmer,,106
2017,Salzgitter Stad,2 Zimmer,,3
2017,Wolfsburg Stadt,2 Zimmer,,139
2017,Gifhorn,2 Zimmer,,58
2017,Goslar,2 Zimmer,,15
2017,Goslar Stadt,2 Zimmer,,0
2017,Goslar (oh. Gos,2 Zimmer,,15
2017,Helmstedt,2 Zimmer,,26
2017,Northeim,2 Zimmer,,83
2017,Peine,2 Zimmer,,61
2017,Peine Stadt,2 Zimmer,,48
2017,Peine (oh. Pein,2 Zimmer,,13
2017,Wolfenbüttel,2 Zimmer,,88
2017,Wolfenbüttel St,2 Zimmer,,21
2017,Wolfenbüttel (o,2 Zimmer,,67
2017,Göttingen,2 Zimmer,,134
2017,Göttingen Stadt,2 Zimmer,,92
2017,Göttingen (oh.,2 Zimmer,,42
2017,Hannover,2 Zimmer,,976
2017,Hannover Region,2 Zimmer,,696
2017,Hannover Landes,2 Zimmer,,319
2017,Garbsen Stadt,2 Zimmer,,18
2017,Langenhagen Sta,2 Zimmer,,70
2017,Hann.Reg.(oh.Ha,2 Zimmer,,289
2017,Diepholz,2 Zimmer,,90
2017,Hameln-Pyrmont,2 Zimmer,,11
2017,Hameln Stadt,2 Zimmer,,9
2017,Hameln-Pyrmont,2 Zimmer,,2
2017,Hildesheim,2 Zimmer,,95
2017,Hildesheim Stad,2 Zimmer,,50
2017,Hildesheim(oh.H,2 Zimmer,,45
2017,Holzminden,2 Zimmer,,18
2017,Nienburg (Weser,2 Zimmer,,26
2017,Schaumburg,2 Zimmer,,40
